site,k,pages,findings,categories,recommendations,health,runtime,error
https://www.mokobara.com,60,60,2,entity_identity|non_text_facts,10,56,98.32,
https://www.mokobara.com,80,80,2,entity_identity|non_text_facts,10,56,45.49,
https://www.mokobara.com,120,1,1,crawlability,1,66,0.73,
https://www.iiit.ac.in,60,60,3,crawlability|freshness|non_text_facts,10,34,42.51,
https://www.iiit.ac.in,80,80,4,crawlability|entity_identity|freshness|non_text_facts,10,34,64.62,
https://www.iiit.ac.in,120,120,4,crawlability|entity_identity|freshness|non_text_facts,10,34,85.27,
https://www.smilefoundationindia.org,60,60,4,crawlability|entity_identity|freshness|non_text_facts,10,34,34.78,
https://www.smilefoundationindia.org,80,80,4,crawlability|entity_identity|freshness|non_text_facts,10,34,52.59,
https://www.smilefoundationindia.org,120,120,4,crawlability|entity_identity|freshness|non_text_facts,10,34,113.18,
https://www.tldraw.com,60,1,1,crawlability,1,66,33.2,
https://www.tldraw.com,80,1,2,content_extraction|rendering,10,56,1.31,
https://www.tldraw.com,120,1,2,content_extraction|rendering,10,56,5.39,
https://beardo.in,60,1,1,crawlability,1,66,0.91,
https://beardo.in,80,1,1,crawlability,1,66,0.88,
https://beardo.in,120,1,1,crawlability,1,66,0.87,
https://www.bikanervala.com,60,1,1,crawlability,1,66,0.92,
https://www.bikanervala.com,80,1,1,crawlability,1,66,0.72,
https://www.bikanervala.com,120,1,1,crawlability,1,66,0.77,
https://www.assocham.org,60,60,3,freshness|non_text_facts|structured_data,10,45,19.48,
https://www.assocham.org,80,80,3,freshness|non_text_facts|structured_data,10,45,25.26,
https://www.assocham.org,120,120,4,entity_identity|freshness|non_text_facts|structured_data,10,45,39.26,
https://www.bharatforge.com,60,60,4,entity_identity|freshness|non_text_facts|structured_data,10,45,25.5,
https://www.bharatforge.com,80,80,4,entity_identity|freshness|non_text_facts|structured_data,10,45,32.24,
https://www.bharatforge.com,120,120,4,entity_identity|freshness|non_text_facts|structured_data,10,45,56.38,
