site,site_url,agent,category,severity,adjudicator,title,evidence,human_verdict
aiims,https://www.aiims.edu/,baseline,other,critical,abstain,Missing Viewport Meta Tag,"No <meta name=""viewport""> found.",
aiims,https://www.aiims.edu/,baseline,other,critical,abstain,Page Not Using HTTPS,URL uses http:// instead of https://.,
aiims,https://www.aiims.edu/,baseline,other,critical,abstain,Broken Internal Links,"Links to broken pages: http://127.0.0.1:9600/index.php/en/component/content/article/79-about-aiims/6905-national-poison-information-centre-24x7 (404), http://127.0.0.1:9600/index.php/en/component/content/article/79-about-aiims/21915-swasth-nari-sashakt-parivar-abhiyaan-health-campaign (404), http://",
aiims,https://www.aiims.edu/,baseline,crawlability,high,no,Missing Canonical Tag,"No <link rel=""canonical""> tag found.",
aiims,https://www.aiims.edu/,baseline,other,high,abstain,Missing Meta Description,No meta description found.,
aiims,https://www.aiims.edu/,baseline,other,high,abstain,Missing H1 Tag,No <h1> tag found in the HTML.,
aiims,https://www.aiims.edu/,baseline,content_extraction,high,abstain,Thin Content,Word count is 88.,
aiims,https://www.aiims.edu/,baseline,other,high,abstain,Render-Blocking CSS,Found 21 blocking stylesheets in <head>.,
aiims,https://www.aiims.edu/,baseline,other,high,abstain,Render-Blocking Scripts,Found 17 blocking scripts in <head>.,
aiims,https://www.aiims.edu/,baseline,crawlability,high,no,Missing Image Alt Text,12 out of 23 images lack an alt attribute.,
aiims,https://www.aiims.edu/,baseline,crawlability,high,no,Missing XML Sitemap,No sitemap URLs found in site data.,
aiims,https://www.aiims.edu/,baseline,other,medium,abstain,Skipped Heading Levels,Heading skipped from H3 to H5.,
aiims,https://www.aiims.edu/,baseline,other,medium,abstain,Excessive DOM Size,Found 3331 HTML elements.,
aiims,https://www.aiims.edu/,baseline,other,medium,abstain,Images Missing Lazy Loading,"23 images lack loading=""lazy"".",
aiims,https://www.aiims.edu/,baseline,other,medium,abstain,Missing Security Headers,"Missing headers: strict-transport-security, content-security-policy, x-frame-options, x-content-type-options",
aiims,https://www.aiims.edu/,baseline,other,medium,abstain,Suboptimal Title Length,Title length is 20 characters.,
aiims,https://www.aiims.edu/,baseline,crawlability,low,no,Trailing Slash on URL,URL path ends with a slash: /index.php/en/,
aiims,https://www.aiims.edu/,baseline,content_extraction,low,abstain,Low Text-to-HTML Ratio,Ratio is 0.19% (<10%).,
aiims,https://www.aiims.edu/,baseline,other,low,abstain,"Unsafe target=""_blank"" Links","Found 35 links missing rel=""noopener"" or rel=""noreferrer"".",
aiims,https://www.aiims.edu/,baseline,crawlability,low,no,Missing Form Labels,Found 31 form inputs without associated labels.,
aiims,https://www.aiims.edu/,baseline,crawlability,low,no,Missing ARIA Landmarks,No semantic HTML5 landmarks or ARIA landmark roles found.,
aiims,https://www.aiims.edu/,deterministic,freshness,high,no,Outdated Content Detected,Multiple freshness signals indicate stale content. Years referenced range from 2019 to 2026 (current year: 2026). Specific indicators: Last updated date: 2014 on http://127.0.0.1:9600/index.php/en/screen-reader-access. AI systems may cite outdated information as current facts.,
aiims,https://www.aiims.edu/,deterministic,engagement,high,abstain,Weak Navigation and Page Orientation,Page http://127.0.0.1:9600/index.php lacks a navigation element (<nav>) and contains only 2 internal links. Header present: False. Footer present: False. Users and AI crawlers cannot discover related content or understand the site structure.,
aiims,https://www.aiims.edu/,reasoning,engagement,high,abstain,No Site Navigation for User or Bot Orientation,"The site has no <nav> element and fewer than 2 navigation links. A user arriving from an AI citation cannot discover related pages, understand the site structure, or continue engaging with the brand.",
aiims,https://www.aiims.edu/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:9600/index.php/en/component/content/article/79-about-aiims/21915-swasth-nari-sashakt-parivar-abhiyaan-health-campaign returned 404.,
aiims,https://www.aiims.edu/,specialist,freshness,high,no,Stale Content,Stale signals: update date=2014. Most recent year: 2026.,
aiims,https://www.aiims.edu/,specialist,engagement,high,abstain,Poor Navigation Structure,"http://127.0.0.1:9600/index.php: no <nav>, 2 internal links.",
aiims,https://www.aiims.edu/,hybrid,freshness,high,no,Outdated Content Detected,Multiple freshness signals indicate stale content. Years referenced range from 2019 to 2026 (current year: 2026). Specific indicators: Last updated date: 2014 on http://127.0.0.1:9600/index.php/en/screen-reader-access. AI systems may cite outdated information as current facts.,
aiims,https://www.aiims.edu/,hybrid,engagement,high,abstain,No Site Navigation for User or Bot Orientation,"The site has no <nav> element and fewer than 2 navigation links. A user arriving from an AI citation cannot discover related pages, understand the site structure, or continue engaging with the brand.",
akshaya-patra,https://www.akshayapatra.org/,baseline,other,critical,abstain,Page Not Using HTTPS,URL uses http:// instead of https://.,
akshaya-patra,https://www.akshayapatra.org/,baseline,other,critical,abstain,Broken Internal Links,"Links to broken pages: http://127.0.0.1:9600/history (404), http://127.0.0.1:9600/governance (404), http://127.0.0.1:9600/board-of-trustees (404), http://127.0.0.1:9600/advisory-board (404), http://127.0.0.1:9600/missionary-leaders (404), http://127.0.0.1:9600/leadership-team (404), http://127.0.0.1",
akshaya-patra,https://www.akshayapatra.org/,baseline,other,high,abstain,Missing H1 Tag,No <h1> tag found in the HTML.,
akshaya-patra,https://www.akshayapatra.org/,baseline,other,high,abstain,Render-Blocking CSS,Found 21 blocking stylesheets in <head>.,
akshaya-patra,https://www.akshayapatra.org/,baseline,crawlability,high,no,Missing Image Alt Text,5 out of 44 images lack an alt attribute.,
akshaya-patra,https://www.akshayapatra.org/,baseline,other,high,abstain,Missing Meta Description,No meta description found.,
akshaya-patra,https://www.akshayapatra.org/,baseline,content_extraction,high,no,Thin Content,Word count is 269.,
akshaya-patra,https://www.akshayapatra.org/,baseline,crawlability,high,no,Missing XML Sitemap,No sitemap URLs found in site data.,
akshaya-patra,https://www.akshayapatra.org/,baseline,crawlability,medium,no,Canonical Points to Different URL,Canonical href (https://www.akshayapatra.org/) differs from page URL (http://127.0.0.1:9600/).,
akshaya-patra,https://www.akshayapatra.org/,baseline,other,medium,abstain,Suboptimal Title Length,Title length is 66 characters.,
akshaya-patra,https://www.akshayapatra.org/,baseline,other,medium,abstain,Suboptimal Meta Description Length,Description length is 163 characters.,
akshaya-patra,https://www.akshayapatra.org/,baseline,other,medium,abstain,Skipped Heading Levels,Heading skipped from H2 to H5.,
akshaya-patra,https://www.akshayapatra.org/,baseline,other,medium,abstain,Images Missing Lazy Loading,"44 images lack loading=""lazy"".",
akshaya-patra,https://www.akshayapatra.org/,baseline,other,medium,abstain,Missing Security Headers,"Missing headers: strict-transport-security, content-security-policy, x-frame-options, x-content-type-options",
akshaya-patra,https://www.akshayapatra.org/,baseline,crawlability,medium,no,Missing HTML Lang Attribute,The <html> tag has no 'lang' attribute.,
akshaya-patra,https://www.akshayapatra.org/,baseline,content_extraction,low,no,Low Text-to-HTML Ratio,Ratio is 1.40% (<10%).,
akshaya-patra,https://www.akshayapatra.org/,baseline,other,low,abstain,"Unsafe target=""_blank"" Links","Found 11 links missing rel=""noopener"" or rel=""noreferrer"".",
