site,hard_limit,soft,per_template,window,pages,templates_sampled,stopped_because,findings,categories,runtime,error
https://www.mokobara.com,80,16,3,6,17,7,saturated,2,entity_identity|non_text_facts,21.23,
https://www.mokobara.com,80,40,3,6,40,7,saturated,2,entity_identity|non_text_facts,27.16,
https://www.mokobara.com,80,40,5,10,1,1,queue_exhausted,1,crawlability,0.69,
https://www.mokobara.com,80,60,5,10,1,1,queue_exhausted,1,crawlability,0.64,
https://www.iiit.ac.in,80,16,3,6,22,4,saturated,3,crawlability|freshness|non_text_facts,19.17,
https://www.iiit.ac.in,80,40,3,6,40,20,saturated,4,crawlability|entity_identity|freshness|non_text_facts,31.4,
https://www.iiit.ac.in,80,40,5,10,40,20,saturated,4,crawlability|entity_identity|freshness|non_text_facts,45.12,
https://www.iiit.ac.in,80,60,5,10,60,30,saturated,3,crawlability|freshness|non_text_facts,48.0,
https://www.smilefoundationindia.org,80,16,3,6,23,5,saturated,3,entity_identity|freshness|non_text_facts,16.77,
https://www.smilefoundationindia.org,80,40,3,6,40,5,saturated,4,crawlability|entity_identity|freshness|non_text_facts,25.64,
https://www.smilefoundationindia.org,80,40,5,10,40,5,saturated,4,crawlability|entity_identity|freshness|non_text_facts,26.43,
https://www.smilefoundationindia.org,80,60,5,10,60,5,saturated,4,crawlability|entity_identity|freshness|non_text_facts,34.33,
https://www.tldraw.com,80,16,3,6,1,1,queue_exhausted,2,content_extraction|rendering,1.11,
https://www.tldraw.com,80,40,3,6,1,1,queue_exhausted,2,content_extraction|rendering,0.67,
https://www.tldraw.com,80,40,5,10,1,1,queue_exhausted,2,content_extraction|rendering,0.75,
https://www.tldraw.com,80,60,5,10,1,1,queue_exhausted,2,content_extraction|rendering,0.8,
https://beardo.in,80,16,3,6,1,1,queue_exhausted,1,crawlability,0.89,
https://beardo.in,80,40,3,6,1,1,queue_exhausted,1,crawlability,0.8,
https://beardo.in,80,40,5,10,1,1,queue_exhausted,1,crawlability,0.79,
https://beardo.in,80,60,5,10,1,1,queue_exhausted,1,crawlability,0.74,
https://www.bikanervala.com,80,16,3,6,1,1,queue_exhausted,1,crawlability,0.96,
https://www.bikanervala.com,80,40,3,6,1,1,queue_exhausted,1,crawlability,0.87,
https://www.bikanervala.com,80,40,5,10,1,1,queue_exhausted,1,crawlability,2.84,
https://www.bikanervala.com,80,60,5,10,1,1,queue_exhausted,1,crawlability,0.84,
https://www.assocham.org,80,16,3,6,80,3,page_limit,3,freshness|non_text_facts|structured_data,26.36,
https://www.assocham.org,80,40,3,6,80,3,page_limit,3,freshness|non_text_facts|structured_data,26.42,
https://www.assocham.org,80,40,5,10,80,3,page_limit,3,freshness|non_text_facts|structured_data,27.19,
https://www.assocham.org,80,60,5,10,80,3,page_limit,3,freshness|non_text_facts|structured_data,26.88,
https://www.bharatforge.com,80,16,3,6,80,35,page_limit,4,entity_identity|freshness|non_text_facts|structured_data,33.47,
https://www.bharatforge.com,80,40,3,6,80,35,page_limit,4,entity_identity|freshness|non_text_facts|structured_data,37.74,
https://www.bharatforge.com,80,40,5,10,80,35,page_limit,4,entity_identity|freshness|non_text_facts|structured_data,32.31,
https://www.bharatforge.com,80,60,5,10,80,35,page_limit,4,entity_identity|freshness|non_text_facts|structured_data,26.96,
